"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 29 00:41:35 UTC 2025","Thu May 29 00:41:35 UTC 2025","417","Surefire suite","Surefire test","tests.HomePageTest","tests.HomePageTest","testClickCartInMenu","testClickCartInMenu","Check that the Cart page opens after clicking Cart in the menu"
"passed","Thu May 29 00:41:42 UTC 2025","Thu May 29 00:41:47 UTC 2025","4365","Surefire suite","Surefire test","tests.HomePageTest","tests.HomePageTest","testClickVideoTutorialsMenu","testClickVideoTutorialsMenu","Check that the YouTube page opens after clicking Video Tutorials in the menu"
"passed","Thu May 29 00:42:03 UTC 2025","Thu May 29 00:42:08 UTC 2025","5175","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","testLoginWithEmptyFields","testLoginWithEmptyFields","User cannot log in with empty fields"
"passed","Thu May 29 00:41:41 UTC 2025","Thu May 29 00:41:41 UTC 2025","902","Surefire suite","Surefire test","tests.HomePageTest","tests.HomePageTest","testClickProductsInMenu","testClickProductsInMenu","Check that the PLP opens after clicking Products in the menu"
"passed","Thu May 29 00:41:15 UTC 2025","Thu May 29 00:41:17 UTC 2025","2105","Surefire suite","Surefire test","tests.RegistrationTest","tests.RegistrationTest","testRedirectToCreateAccountPage","testRedirectToCreateAccountPage","Redirect to Create Account Page after signup click"
"passed","Thu May 29 00:41:55 UTC 2025","Thu May 29 00:42:02 UTC 2025","6633","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","testLogOut","testLogOut","User can successfully log out"
"passed","Thu May 29 00:41:19 UTC 2025","Thu May 29 00:41:25 UTC 2025","6426","Surefire suite","Surefire test","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithExistingEmail","testRegisterWithExistingEmail","User can't register with existing email"
"passed","Thu May 29 00:41:29 UTC 2025","Thu May 29 00:41:32 UTC 2025","3432","Surefire suite","Surefire test","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithValidData","testRegisterWithValidData","User can register with valid data"
"passed","Thu May 29 00:41:36 UTC 2025","Thu May 29 00:41:37 UTC 2025","524","Surefire suite","Surefire test","tests.HomePageTest","tests.HomePageTest","testClickContactUsMenu","testClickContactUsMenu","Check that the Contuct Us page opens after ckicking Contact us in the menu"
"passed","Thu May 29 00:41:48 UTC 2025","Thu May 29 00:41:54 UTC 2025","5667","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","testLogIn","testLogIn","User can log in with valid email and password"
"passed","Thu May 29 00:41:39 UTC 2025","Thu May 29 00:41:39 UTC 2025","579","Surefire suite","Surefire test","tests.HomePageTest","tests.HomePageTest","testClickLoginMenu","testClickLoginMenu","Check that the Sign Up button appears after clicking Signup/Login in the menu"
